author_id,author_name,author_affiliation_name
55561849700,"Abdulraheem, Maky H.",Universiti Utara Malaysia
57192063118,"Gurama, Zakariya’u",Universiti Utara Malaysia
8638459700,"Roslan, Abdul Hakim",Universiti Utara Malaysia
57205055891,"Nugraha, Andhyka Tyaz",Universiti Utara Malaysia
56397394400,"Rahman, Mohd Abdur",Universiti Utara Malaysia
56233361300,"Taghizadeh, Seyedeh Khadijeh",Universiti Utara Malaysia
36544895000,"Hassan, M. G.",Universiti Utara Malaysia
57195641671,"Mohammad Aris, A. A.",Universiti Utara Malaysia
56226269100,"Zien Bin Yusoff, Rushami",Universiti Utara Malaysia
55318902100,"Kassim, Normalini Md",Universiti Utara Malaysia
6602197423,"Okumus, Fevzi",Universiti Utara Malaysia
55211244500,"Nawi, M. N.M.",Universiti Utara Malaysia
55601160600,"Mohammed, M. A.",Universiti Utara Malaysia
57195491373,"Akanmu, Muslim Diekola",Universiti Utara Malaysia
56960552700,"Hadis Habibi, Awang Had Salleh",Universiti Utara Malaysia
54788346100,"Razak, Razli Che",Universiti Utara Malaysia
23501524600,"Bhasin, Madan Lai",Universiti Utara Malaysia
57204012015,"Mohd Shariff, Nurhazani",Universiti Utara Malaysia
24474575700,"Hassan, H.",Universiti Utara Malaysia
55615244100,"Bamahros, Hasan Mohamed",Universiti Utara Malaysia
57194452274,"Abdullah, Siti Aminah",Universiti Utara Malaysia
55612616600,"Komang Astina, I.",Universiti Utara Malaysia
55810487500,"Sardana, G. D.",Universiti Utara Malaysia
57204361119,"Zuhair, I. M.E.",Universiti Utara Malaysia
55386018400,"Hin, Cheng Wei",Universiti Utara Malaysia
55933748400,"Robie, Mohd Afdhal Muhammad",Universiti Utara Malaysia
57200444032,"Ali Ammar Awn, Abdullah Mohammed",Universiti Utara Malaysia
56406205500,"Orlič, Davor",Universiti Utara Malaysia
56275646400,"Ahmad, Hj Mohd Akhir Hj",Universiti Utara Malaysia
57192685219,"Iqbal, Sameera",Universiti Utara Malaysia
37073054300,"Mohamad-Nor, Mohamad Naimi",Universiti Utara Malaysia
36629474200,"Ud Din, Ikram",Universiti Utara Malaysia
56489930900,"Ahmad, Wan Ibrahim Wan",Universiti Utara Malaysia
47561286600,"Ferdushi, Kanis Fatama",Universiti Utara Malaysia
56031654500,"Mohammed, Athraa Jasim",Universiti Utara Malaysia
55711405000,"Bhatt, P. R.",Universiti Utara Malaysia
57201277898,"Ali, Abdulkarim Saleh Masoud",Universiti Utara Malaysia
57196480304,"Adeel-Farooq, Rana Muhammad",Universiti Utara Malaysia
38561331300,"Junoh, Ahmad Kadri",Universiti Utara Malaysia
35119511600,"Shamsudin, Faridahwati Mohd",Universiti Utara Malaysia
35434485500,"Aziz, Nurulnadwan",Universiti Utara Malaysia
57195962566,"Qasim, Saba",Universiti Utara Malaysia
6508224767,"Lutters, Wayne",Universiti Utara Malaysia
35588436700,"Ghani, Idris Abd",Universiti Utara Malaysia
57189495467,"Awwad Al-Qammaz, Abdullah Yousef",Universiti Utara Malaysia
57189643648,"Elhachemi, Hacine Gherbi",Universiti Utara Malaysia
37121450100,"Bhuiyan, Anowar Hossain",Universiti Utara Malaysia
57200292555,"Isa, Norhayati Md",Universiti Utara Malaysia
54420759700,"Mohd Hussin, Naimah",Universiti Utara Malaysia
56975969200,"Yip, Chee Yin",Universiti Utara Malaysia
35333490200,"Abella, Mireya Sosa",Universiti Utara Malaysia
57191198447,"Wahab, Noor Thoyibbah Abdul",Universiti Utara Malaysia
56181353400,"Al-Matari, Ebrahim Mohammed",Universiti Utara Malaysia
36682907600,"Osman, Baharudin",Universiti Utara Malaysia
57192195729,"Hamid, Ros Syammimi",Universiti Utara Malaysia
56442697300,"Dhaiban, Ali Khaleel",Universiti Utara Malaysia
57209161195,"Abdullah, Nik Safiah Nik",Universiti Utara Malaysia
57190938886,"Ismael, A. N.",Universiti Utara Malaysia
8942252200,"Khan, Muhammad Khurram",Universiti Utara Malaysia
56209143000,"Fadahl, Zaid Abass",Universiti Utara Malaysia
57205158229,"Abdul Hanan, Suhaila",Universiti Utara Malaysia
36998384900,"Kasim, M. M.",Universiti Utara Malaysia
55922901300,"ALNasser, Abdullah",Universiti Utara Malaysia
57189035137,"Afolabi Luqman, O.",Universiti Utara Malaysia
25825419000,"Nisar, Kashif",Universiti Utara Malaysia
36448052100,"Yasin, Azman",Universiti Utara Malaysia
36198028300,"Azman, Mohamed Nor Azhari",Universiti Utara Malaysia
55323677200,"Sharif, Shamshuritawati",Universiti Utara Malaysia
36160167000,"Mohd, Mohd Zaini",Universiti Utara Malaysia
35103704800,"Sulaiman, Tajularipin",Universiti Utara Malaysia
56884185100,"Razak, Adilah Abd",Universiti Utara Malaysia
51261526700,"Wylde, Christopher",Universiti Utara Malaysia
57191380182,"Ahmad, Rusniah",Universiti Utara Malaysia
55631121100,"Chin, Sze Kim",Universiti Utara Malaysia
55386350700,"Islam, Gazi Mohammed Nurul",Universiti Utara Malaysia
54403809000,"Shafie, S. M.",Universiti Utara Malaysia
36105122800,"Maiyaki, Ahmed Audu",Universiti Utara Malaysia
56023111600,"Ahmad, Puteri Azwa",Universiti Utara Malaysia
57193605249,"Salleh, Awang Had",Universiti Utara Malaysia
56233699900,"Rahman, Syed Abidur",Universiti Utara Malaysia
57204050421,"Mat, Norsiah",Universiti Utara Malaysia
35172709300,"Chandren, Sitraselvi",Universiti Utara Malaysia
56613470600,"Terwase, Isaac Terungwa",Universiti Utara Malaysia
36052855400,"Hussaini, M.",Universiti Utara Malaysia
55824982800,"Askandar, Kamarulzaman",Universiti Utara Malaysia
36134030300,"Zulkifli, Norzima",Universiti Utara Malaysia
15729966500,"Mansor, Muzainah Binti",Universiti Utara Malaysia
56766203700,"Ashaary, Nur Athirah",Universiti Utara Malaysia
57190617093,"Ahmad, M.",Universiti Utara Malaysia
56401240300,"Hee, W. J.",Universiti Utara Malaysia
57194601610,"Rashid Gill, Abid",Universiti Utara Malaysia
55433728000,"Atanda, A. F.",Universiti Utara Malaysia
57195538379,"Mustapha, Rabi",Universiti Utara Malaysia
57192907908,"Hussin, Siti Husmila",Universiti Utara Malaysia
55754486100,"AzizulBaten, Md",Universiti Utara Malaysia
57190976501,"Hassan, Zuraida",Universiti Utara Malaysia
57195343623,"Meddour, Houcine",Universiti Utara Malaysia
57171448800,"Rahman, Siti Fatimah Abdul",Universiti Utara Malaysia
